"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7687","Create Orientation Event Group if not exists","chromium","2026-06-08","failed","2026-06-08","","orientationSmoke/orientationEvent.spec.ts","",""
"","34309","Register attendee from Event ticket","chromium","2026-06-08","passed","2026-06-08","Admin Orientation Event Flow","orientationSmoke/orientationAdmin.spec.ts","",""
"","40036","Student Orientation Event Registration","chromium","2026-06-08","passed","2026-06-08","Registration Creation and Cancellation validations","orientationSmoke/orientationRegistration.spec.ts","",""
"","184534","Attendee is set to No Show Cancelled @test","chromium","2026-06-08","broken","2026-06-08","Admin Orientation Event Flow","orientationSmoke/orientationAdmin.spec.ts","",""
"","7837","Verify attendee record and eligibility update in backend","chromium","2026-06-08","passed","2026-06-08","Admin Orientation Event Flow","orientationSmoke/orientationAdmin.spec.ts","",""
"","99703","Verify Attendee record is stored in backend","chromium","2026-06-08","passed","2026-06-08","Registration Creation and Cancellation validations","orientationSmoke/orientationRegistration.spec.ts","",""
"","28509","Update Non mandatory sessions and validate backend","chromium","2026-06-08","failed","2026-06-08","Registration Creation and Cancellation validations","orientationSmoke/orientationRegistration.spec.ts","",""
"","22118","Student can view attendeeLink after Staff Registration","chromium","2026-06-08","passed","2026-06-08","Admin Orientation Event Flow","orientationSmoke/orientationAdmin.spec.ts","",""
"","18445","The Registration Update Info","chromium","2026-06-08","passed","2026-06-08","Registration Creation and Cancellation validations","orientationSmoke/orientationRegistration.spec.ts","",""
"","21375","View AttendeeLink page and session agenda","chromium","2026-06-08","passed","2026-06-08","Registration Creation and Cancellation validations","orientationSmoke/orientationRegistration.spec.ts","",""
"","29986","The Registration Cancellation and record count validation","chromium","2026-06-08","passed","2026-06-08","Registration Creation and Cancellation validations","orientationSmoke/orientationRegistration.spec.ts","",""
